id;month;year;datetime;depth;urlid;url;domain;platform;dataset_total;domain_country;ip_country;country_name;country_alpha-2_code;root_domain;rank
14079;1;2020;2020-02-12 12:57:37.283;0;URL1770409;https://2020census-bucksgis.opendata.arcgis.com;https://2020census-bucksgis.opendata.arcgis.com;ARCGIS;-1;(not available);United States;United States of America;US;2020census-bucksgis.opendata.arcgis.com;1
14080;1;2020;2020-02-12 12:57:40.977;0;URL1770410;http://aampo-mpo.opendata.arcgis.com;http://aampo-mpo.opendata.arcgis.com;ARCGIS;121;(not available);United States;United States of America;US;aampo-mpo.opendata.arcgis.com;1
14081;1;2020;2020-02-12 12:57:43.607;0;URL1770411;https://access-tep-thames.opendata.arcgis.com;https://access-tep-thames.opendata.arcgis.com;ARCGIS;3;(not available);United States;United States of America;US;access-tep-thames.opendata.arcgis.com;1
15015;1;2020;2020-02-12 14:01:24.440;0;URL2802851;https://accessnc.opendatasoft.com;https://accessnc.opendatasoft.com/pages/home/;OPENDATASOFT;59;(not available);United States;United States of America;US;accessnc.opendatasoft.com;1
14083;1;2020;2020-02-12 12:57:50.517;0;URL1770414;https://actmapi-actgov.opendata.arcgis.com;https://actmapi-actgov.opendata.arcgis.com;ARCGIS;173;(not available);United States;United States of America;US;actmapi-actgov.opendata.arcgis.com;1
14082;1;2020;2020-02-12 12:57:47.140;0;URL1770412;http://actmapi-actgov.opendata.arcgis.com;https://actmapi-actgov.opendata.arcgis.com/;ARCGIS;173;(not available);United States;United States of America;US;actmapi-actgov.opendata.arcgis.com;2
12941;1;2020;2020-02-12 11:44:33.593;0;URL3633797;https://admin.opendata.dk;https://admin.opendata.dk/user/login;CKAN;982;Denmark;United States;Denmark;DK;admin.opendata.dk;1
15016;1;2020;2020-02-12 14:01:27.110;0;URL2802861;https://afd.opendatasoft.com;https://afd.opendatasoft.com/explore/;OPENDATASOFT;13;(not available);Ireland;Ireland;IE;afd.opendatasoft.com;1
13744;1;2020;2020-02-12 12:36:26.250;0;URL7118136;https://africaopendata.org:443;https://open.africa/;CKAN;5561;(not available);(not available);(not available);00;africaopendata.org:443;1
13743;1;2020;2020-02-12 12:36:23.123;0;URL7118125;http://africaopendata.org;https://open.africa:443/;CKAN;5561;(not available);United States;United States of America;US;africaopendata.org;2
13742;1;2020;2020-02-12 12:36:20.080;0;URL7118078;https://africaopendata.org;https://open.africa/;CKAN;5561;(not available);United States;United States of America;US;africaopendata.org;3
14084;1;2020;2020-02-12 12:57:55.907;0;URL1770416;https://agcros-usdaars.opendata.arcgis.com;https://agcros-usdaars.opendata.arcgis.com;ARCGIS;43;(not available);United States;United States of America;US;agcros-usdaars.opendata.arcgis.com;1
14085;1;2020;2020-02-12 12:57:58.330;0;URL1770417;https://agpres-bucksgis.opendata.arcgis.com;https://agpres-bucksgis.opendata.arcgis.com;ARCGIS;-1;(not available);United States;United States of America;US;agpres-bucksgis.opendata.arcgis.com;1
14086;1;2020;2020-02-12 12:58:01.797;0;URL1770418;http://agroclima-murcia.opendata.arcgis.com;http://agroclima-murcia.opendata.arcgis.com;ARCGIS;56;(not available);United States;United States of America;US;agroclima-murcia.opendata.arcgis.com;1
13412;1;2020;2020-02-12 12:11:00.273;0;URL5249453;https://agtransport.usda.gov;https://agtransport.usda.gov;SOCRATA;0;(not available);United States;United States of America;US;agtransport.usda.gov;1
15161;1;2020;2020-02-12 14:09:02.907;0;URL1044318;https://amopen.amo.on.ca;https://amopen.amo.on.ca;SOCRATA;26;Canada;United States;Canada;CA;amopen.amo.on.ca;1
12971;1;2020;2020-02-12 11:46:31.120;0;URL3751659;https://analisis.datosabiertos.jcyl.es;https://analisis.datosabiertos.jcyl.es/pages/home/;OPENDATASOFT;115;Spain;Germany;Spain;ES;analisis.datosabiertos.jcyl.es;1
12865;1;2020;2020-02-12 11:39:30.690;0;URL120174;http://andino.pilar.gov.ar;http://andino.pilar.gov.ar;CKAN;103;Argentina;Argentina;Argentina;AR;andino.pilar.gov.ar;1
15017;1;2020;2020-02-12 14:01:31.897;0;URL2802879;https://angersloiremetropole.opendatasoft.com;https://angersloiremetropole.opendatasoft.com/pages/home/;OPENDATASOFT;111;(not available);France;France;FR;angersloiremetropole.opendatasoft.com;1
15018;1;2020;2020-02-12 14:01:34.733;0;URL2802894;https://anglet-opendatapaysbasque.opendatasoft.com;https://anglet-opendatapaysbasque.opendatasoft.com/explore/;OPENDATASOFT;17;(not available);Ireland;Ireland;IE;anglet-opendatapaysbasque.opendatasoft.com;1
13420;1;2020;2020-02-12 12:11:52.013;0;URL5357252;http://anrgeodata.vermont.gov;http://anrgeodata.vermont.gov;ARCGIS;189;(not available);United States;United States of America;US;anrgeodata.vermont.gov;1
14087;1;2020;2020-02-12 12:58:10.670;0;URL1770426;https://anropendata-vtanr.opendata.arcgis.com;https://anropendata-vtanr.opendata.arcgis.com;ARCGIS;189;(not available);United States;United States of America;US;anropendata-vtanr.opendata.arcgis.com;1
13433;1;2020;2020-02-12 12:13:01.760;0;URL5439208;http://www.apdkritis.gov.gr;http://www.apdkritis.gov.gr;DKAN;0;Greece;Greece;Greece;GR;apdkritis.gov.gr;1
13432;1;2020;2020-02-12 12:12:53.803;0;URL5439205;http://apdkritis.gov.gr;http://apdkritis.gov.gr;DKAN;0;Greece;Greece;Greece;GR;apdkritis.gov.gr;2
13431;1;2020;2020-02-12 12:12:45.127;0;URL5439203;https://www.apdkritis.gov.gr;https://www.apdkritis.gov.gr;DKAN;0;Greece;Greece;Greece;GR;apdkritis.gov.gr;3
14089;1;2020;2020-02-12 12:58:43.027;0;URL1770432;https://arc-garc.opendata.arcgis.com;https://arc-garc.opendata.arcgis.com;ARCGIS;25;(not available);United States;United States of America;US;arc-garc.opendata.arcgis.com;1
14088;1;2020;2020-02-12 12:58:28.710;0;URL1770430;http://arc-garc.opendata.arcgis.com;https://arc-garc.opendata.arcgis.com/;ARCGIS;25;(not available);United States;United States of America;US;arc-garc.opendata.arcgis.com;2
14091;1;2020;2020-02-12 12:58:49.010;0;URL1770436;https://arctic-nga.opendata.arcgis.com;https://arctic-nga.opendata.arcgis.com;ARCGIS;80;(not available);United States;United States of America;US;arctic-nga.opendata.arcgis.com;1
14090;1;2020;2020-02-12 12:58:46.203;0;URL1770434;http://arctic-nga.opendata.arcgis.com;https://arctic-nga.opendata.arcgis.com/;ARCGIS;80;(not available);United States;United States of America;US;arctic-nga.opendata.arcgis.com;2
15019;1;2020;2020-02-12 14:01:37.480;0;URL2802900;https://ardennemetropole.opendatasoft.com;https://ardennemetropole.opendatasoft.com/pages/home/;OPENDATASOFT;7;(not available);France;France;FR;ardennemetropole.opendatasoft.com;1
13565;1;2020;2020-02-12 12:23:40.867;0;URL6097737;https://arpae.datamb.it;https://arpae.datamb.it;CKAN;61;Italy;Italy;Italy;IT;arpae.datamb.it;1
14092;1;2020;2020-02-12 12:58:52.170;0;URL1770438;http://atlas-acsqhc.opendata.arcgis.com;http://atlas-acsqhc.opendata.arcgis.com;ARCGIS;62;(not available);United States;United States of America;US;atlas-acsqhc.opendata.arcgis.com;1
14093;1;2020;2020-02-12 12:58:55.240;0;URL1770440;http://atlas-dwr.opendata.arcgis.com;http://atlas-dwr.opendata.arcgis.com;ARCGIS;25;(not available);United States;United States of America;US;atlas-dwr.opendata.arcgis.com;1
14095;1;2020;2020-02-12 12:59:01.197;0;URL1770444;http://auditor-fca.opendata.arcgis.com;http://auditor-fca.opendata.arcgis.com;ARCGIS;43;(not available);United States;United States of America;US;auditor-fca.opendata.arcgis.com;1
14094;1;2020;2020-02-12 12:58:58.333;0;URL1770443;https://auditor-fca.opendata.arcgis.com;https://auditor-fca.opendata.arcgis.com;ARCGIS;43;(not available);United States;United States of America;US;auditor-fca.opendata.arcgis.com;2
15020;1;2020;2020-02-12 14:01:39.927;0;URL2802903;https://australiademo.opendatasoft.com;https://australiademo.opendatasoft.com/pages/home/;OPENDATASOFT;28;(not available);United States;United States of America;US;australiademo.opendatasoft.com;1
13005;1;2020;2020-02-12 11:48:24.027;0;URL3810937;https://avoindata.ouka.fi;https://avoindata.ouka.fi;CKAN;5;Finland;Finland;Finland;FI;avoindata.ouka.fi;1
14096;1;2020;2020-02-12 12:59:06.960;0;URL1770446;http://azgeo-azland.opendata.arcgis.com;http://azgeo-azland.opendata.arcgis.com;ARCGIS;29;(not available);United States;United States of America;US;azgeo-azland.opendata.arcgis.com;1
14098;1;2020;2020-02-12 12:59:11.530;0;URL1770449;https://bakersfielddatalibrary-cob.opendata.arcgis.com;https://bakersfielddatalibrary-cob.opendata.arcgis.com;ARCGIS;-1;(not available);United States;United States of America;US;bakersfielddatalibrary-cob.opendata.arcgis.com;1
