id;month;year;datetime;depth;urlid;url;domain;platform;dataset_total;domain_country;ip_country;country_name;country_alpha-2_code;root_domain;rank
3913;9;2019;2019-10-28 18:21:41.147;0;URL1867579;http://aampo-mpo.opendata.arcgis.com;http://aampo-mpo.opendata.arcgis.com;ARCGIS;122;(not available);United States;United States of America;US;aampo-mpo.opendata.arcgis.com;1
4798;9;2019;2019-10-28 19:16:45.503;0;URL2829853;https://accessnc.opendatasoft.com:443;https://accessnc.opendatasoft.com:443/pages/home/;OPENDATASOFT;54;(not available);(not available);(not available);00;accessnc.opendatasoft.com:443;1
4797;9;2019;2019-10-28 19:16:43.203;0;URL2829843;https://accessnc.opendatasoft.com;https://accessnc.opendatasoft.com/pages/home/;OPENDATASOFT;54;(not available);United States;United States of America;US;accessnc.opendatasoft.com;2
4796;9;2019;2019-10-28 19:16:40.787;0;URL2829842;http://accessnc.opendatasoft.com;https://accessnc.opendatasoft.com:443/pages/home/;OPENDATASOFT;54;(not available);United States;United States of America;US;accessnc.opendatasoft.com;3
3915;9;2019;2019-10-28 18:21:48.587;0;URL1867582;https://actmapi-actgov.opendata.arcgis.com;https://actmapi-actgov.opendata.arcgis.com;ARCGIS;172;(not available);United States;United States of America;US;actmapi-actgov.opendata.arcgis.com;1
3914;9;2019;2019-10-28 18:21:44.930;0;URL1867580;http://actmapi-actgov.opendata.arcgis.com;https://actmapi-actgov.opendata.arcgis.com/;ARCGIS;172;(not available);United States;United States of America;US;actmapi-actgov.opendata.arcgis.com;2
4801;9;2019;2019-10-28 19:16:54.257;0;URL2829869;https://afd.opendatasoft.com:443;https://afd.opendatasoft.com:443/page/accueil/;OPENDATASOFT;13;(not available);(not available);(not available);00;afd.opendatasoft.com:443;1
4800;9;2019;2019-10-28 19:16:51.667;0;URL2829865;http://afd.opendatasoft.com;https://afd.opendatasoft.com:443/page/accueil/;OPENDATASOFT;13;(not available);Ireland;Ireland;IE;afd.opendatasoft.com;2
4799;9;2019;2019-10-28 19:16:48.250;0;URL2829854;https://afd.opendatasoft.com;https://afd.opendatasoft.com/page/accueil/;OPENDATASOFT;13;(not available);Ireland;Ireland;IE;afd.opendatasoft.com;3
3589;9;2019;2019-10-28 18:01:47.320;0;URL6664144;https://africaopendata.org:443;https://africaopendata.org:443;CKAN;5470;(not available);(not available);(not available);00;africaopendata.org:443;1
3588;9;2019;2019-10-28 18:01:44.763;0;URL6664117;https://africaopendata.org;https://africaopendata.org;CKAN;5470;(not available);Ireland;Ireland;IE;africaopendata.org;2
3816;9;2019;2019-10-28 18:15:25.673;0;URL7929254;http://www.agridata.tn;http://www.agridata.tn;CKAN;488;Tunisia;Tunisia;Tunisia;TN;agridata.tn;1
3815;9;2019;2019-10-28 18:15:22.640;0;URL7929253;http://agridata.tn;http://agridata.tn;CKAN;488;Tunisia;Tunisia;Tunisia;TN;agridata.tn;2
