id;month;year;datetime;depth;urlid;url;domain;platform;dataset_total;domain_country;ip_country;country_name;country_alpha-2_code;root_domain;rank
6518;10;2019;2019-11-14 15:36:51.810;0;URL1806184;https://2020census-bucksgis.opendata.arcgis.com;https://2020census-bucksgis.opendata.arcgis.com;ARCGIS;-1;(not available);United States;United States of America;US;2020census-bucksgis.opendata.arcgis.com;1
6519;10;2019;2019-11-14 15:36:54.653;0;URL1806185;http://aboutus-bucksgis.opendata.arcgis.com;http://aboutus-bucksgis.opendata.arcgis.com;ARCGIS;-1;(not available);United States;United States of America;US;aboutus-bucksgis.opendata.arcgis.com;1
6520;10;2019;2019-11-14 15:36:57.320;0;URL1806186;https://access-tep-thames.opendata.arcgis.com;https://access-tep-thames.opendata.arcgis.com;ARCGIS;3;(not available);United States;United States of America;US;access-tep-thames.opendata.arcgis.com;1
7353;10;2019;2019-11-14 16:28:04.870;0;URL2831449;https://accessnc.opendatasoft.com;https://accessnc.opendatasoft.com/pages/home/;OPENDATASOFT;59;(not available);United States;United States of America;US;accessnc.opendatasoft.com;1
6521;10;2019;2019-11-14 15:37:00.753;0;URL1806187;https://actmapi-actgov.opendata.arcgis.com;https://actmapi-actgov.opendata.arcgis.com;ARCGIS;172;(not available);United States;United States of America;US;actmapi-actgov.opendata.arcgis.com;1
5621;10;2019;2019-11-14 14:41:11.540;0;URL4228766;https://admin-catalog.data.gov;https://catalog.data.gov/dataset;CKAN;251766;(not available);United States;United States of America;US;admin-catalog.data.gov;1
7356;10;2019;2019-11-14 16:28:14.943;0;URL2831472;https://afd.opendatasoft.com:443;https://afd.opendatasoft.com:443/page/accueil/;OPENDATASOFT;13;(not available);(not available);(not available);00;afd.opendatasoft.com:443;1
7355;10;2019;2019-11-14 16:28:12.360;0;URL2831459;https://afd.opendatasoft.com;https://afd.opendatasoft.com/page/accueil/;OPENDATASOFT;13;(not available);Ireland;Ireland;IE;afd.opendatasoft.com;2
7354;10;2019;2019-11-14 16:28:09.803;0;URL2831458;http://afd.opendatasoft.com;https://afd.opendatasoft.com:443/page/accueil/;OPENDATASOFT;13;(not available);Ireland;Ireland;IE;afd.opendatasoft.com;3
6147;10;2019;2019-11-14 15:14:03.083;0;URL6987419;https://africaopendata.org:443;https://africaopendata.org:443;CKAN;5513;(not available);(not available);(not available);00;africaopendata.org:443;1
6146;10;2019;2019-11-14 15:14:00.577;0;URL6987404;http://africaopendata.org;https://africaopendata.org:443/;CKAN;5513;(not available);Ireland;Ireland;IE;africaopendata.org;2
6145;10;2019;2019-11-14 15:13:57.860;0;URL6987391;https://africaopendata.org;https://africaopendata.org;CKAN;5513;(not available);Ireland;Ireland;IE;africaopendata.org;3
6523;10;2019;2019-11-14 15:37:07.197;0;URL1806189;http://agcros-usdaars.opendata.arcgis.com;https://agcros-usdaars.opendata.arcgis.com/;ARCGIS;147;(not available);United States;United States of America;US;agcros-usdaars.opendata.arcgis.com;1
6522;10;2019;2019-11-14 15:37:03.813;0;URL1806188;https://agcros-usdaars.opendata.arcgis.com;https://agcros-usdaars.opendata.arcgis.com;ARCGIS;147;(not available);United States;United States of America;US;agcros-usdaars.opendata.arcgis.com;2
6524;10;2019;2019-11-14 15:37:10.053;0;URL1806190;https://agpres-bucksgis.opendata.arcgis.com;https://agpres-bucksgis.opendata.arcgis.com;ARCGIS;-1;(not available);United States;United States of America;US;agpres-bucksgis.opendata.arcgis.com;1
6391;10;2019;2019-11-14 15:28:49.130;0;URL8431119;http://www.agridata.tn;http://www.agridata.tn;CKAN;507;Tunisia;Tunisia;Tunisia;TN;agridata.tn;1
6390;10;2019;2019-11-14 15:28:46.280;0;URL8431118;http://agridata.tn;http://agridata.tn;CKAN;507;Tunisia;Tunisia;Tunisia;TN;agridata.tn;2
6525;10;2019;2019-11-14 15:37:13.230;0;URL1806191;http://agroclima-murcia.opendata.arcgis.com;http://agroclima-murcia.opendata.arcgis.com;ARCGIS;55;(not available);United States;United States of America;US;agroclima-murcia.opendata.arcgis.com;1
6526;10;2019;2019-11-14 15:37:15.677;0;URL1806193;http://agsolutions-mapasydatos.opendata.arcgis.com;http://agsolutions-mapasydatos.opendata.arcgis.com;ARCGIS;-1;(not available);United States;United States of America;US;agsolutions-mapasydatos.opendata.arcgis.com;1
6527;10;2019;2019-11-14 15:37:18.697;0;URL1806194;http://agzone-auburnme.opendata.arcgis.com;http://agzone-auburnme.opendata.arcgis.com;ARCGIS;267;(not available);United States;United States of America;US;agzone-auburnme.opendata.arcgis.com;1
6529;10;2019;2019-11-14 15:37:24.977;0;URL1806197;https://ais-faa.opendata.arcgis.com;https://ais-faa.opendata.arcgis.com;ARCGIS;67;(not available);United States;United States of America;US;ais-faa.opendata.arcgis.com;1
6528;10;2019;2019-11-14 15:37:22.013;0;URL1806196;http://ais-faa.opendata.arcgis.com;https://ais-faa.opendata.arcgis.com/;ARCGIS;67;(not available);United States;United States of America;US;ais-faa.opendata.arcgis.com;2
7503;10;2019;2019-11-14 16:35:35.073;0;URL948446;https://amopen.amo.on.ca;https://amopen.amo.on.ca;SOCRATA;26;Canada;(not available);Canada;CA;amopen.amo.on.ca;1
5359;10;2019;2019-11-14 14:26:28.003;0;URL3736881;https://analisis.datosabiertos.jcyl.es;https://analisis.datosabiertos.jcyl.es/pages/home/;OPENDATASOFT;103;Spain;Germany;Spain;ES;analisis.datosabiertos.jcyl.es;1
6530;10;2019;2019-11-14 15:37:29.813;0;URL1806199;http://andes-ccrp.opendata.arcgis.com;http://andes-ccrp.opendata.arcgis.com;ARCGIS;4;(not available);United States;United States of America;US;andes-ccrp.opendata.arcgis.com;1
5273;10;2019;2019-11-14 14:21:09.517;0;URL115141;http://andino.pilar.gov.ar;http://andino.pilar.gov.ar;CKAN;103;Argentina;Argentina;Argentina;AR;andino.pilar.gov.ar;1
7357;10;2019;2019-11-14 16:28:17.893;0;URL2831477;https://angersloiremetropole.opendatasoft.com;https://angersloiremetropole.opendatasoft.com/pages/home/;OPENDATASOFT;109;(not available);France;France;FR;angersloiremetropole.opendatasoft.com;1
7358;10;2019;2019-11-14 16:28:20.603;0;URL2831487;https://anglet-opendatapaysbasque.opendatasoft.com;https://anglet-opendatapaysbasque.opendatasoft.com/explore/;OPENDATASOFT;17;(not available);Ireland;Ireland;IE;anglet-opendatapaysbasque.opendatasoft.com;1
5816;10;2019;2019-11-14 14:52:31.123;0;URL5323191;http://anrgeodata.vermont.gov;http://anrgeodata.vermont.gov;ARCGIS;188;(not available);United States;United States of America;US;anrgeodata.vermont.gov;1
5830;10;2019;2019-11-14 14:53:48.583;0;URL5395807;http://www.apdkritis.gov.gr;http://www.apdkritis.gov.gr;DKAN;0;Greece;Greece;Greece;GR;apdkritis.gov.gr;1
5829;10;2019;2019-11-14 14:53:40.723;0;URL5395804;https://www.apdkritis.gov.gr;https://www.apdkritis.gov.gr;DKAN;0;Greece;Greece;Greece;GR;apdkritis.gov.gr;2
5828;10;2019;2019-11-14 14:53:31.140;0;URL5395803;http://apdkritis.gov.gr;http://apdkritis.gov.gr;DKAN;0;Greece;Greece;Greece;GR;apdkritis.gov.gr;3
5827;10;2019;2019-11-14 14:53:23.280;0;URL5395802;https://apdkritis.gov.gr;https://apdkritis.gov.gr;DKAN;0;Greece;Greece;Greece;GR;apdkritis.gov.gr;4
7359;10;2019;2019-11-14 16:28:23.473;0;URL2831501;https://api-agro.opendatasoft.com;https://api-agro.opendatasoft.com/pages/lancement-de-la-v2/;OPENDATASOFT;73;(not available);Ireland;Ireland;IE;api-agro.opendatasoft.com;1
5944;10;2019;2019-11-14 15:01:26.667;0;URL5973235;https://api-lab-trone-stif.opendata.stif.info;https://api-lab-trone-stif.opendata.stif.info/pages/api-test-temps-reel/;OPENDATASOFT;0;(not available);Ireland;Ireland;IE;api-lab-trone-stif.opendata.stif.info;1
6532;10;2019;2019-11-14 15:37:56.477;0;URL1806203;https://arc-garc.opendata.arcgis.com;https://arc-garc.opendata.arcgis.com;ARCGIS;20;(not available);United States;United States of America;US;arc-garc.opendata.arcgis.com;1
6531;10;2019;2019-11-14 15:37:45.520;0;URL1806202;http://arc-garc.opendata.arcgis.com;https://arc-garc.opendata.arcgis.com/;ARCGIS;20;(not available);United States;United States of America;US;arc-garc.opendata.arcgis.com;2
6533;10;2019;2019-11-14 15:37:59.800;0;URL1806208;http://atlas-acsqhc.opendata.arcgis.com;http://atlas-acsqhc.opendata.arcgis.com;ARCGIS;62;(not available);United States;United States of America;US;atlas-acsqhc.opendata.arcgis.com;1
6534;10;2019;2019-11-14 15:38:03.033;0;URL1806210;http://atlas-dwr.opendata.arcgis.com;http://atlas-dwr.opendata.arcgis.com;ARCGIS;48;(not available);United States;United States of America;US;atlas-dwr.opendata.arcgis.com;1
6535;10;2019;2019-11-14 15:38:06.097;0;URL1806213;https://auditor-fca.opendata.arcgis.com;https://auditor-fca.opendata.arcgis.com;ARCGIS;43;(not available);United States;United States of America;US;auditor-fca.opendata.arcgis.com;1
7542;10;2019;2019-11-14 16:37:53.720;0;URL3166443;https://austin-energy.data.socrata.com;https://austin-energy.data.socrata.com/login;SOCRATA;2;(not available);United States;United States of America;US;austin-energy.data.socrata.com;1
7360;10;2019;2019-11-14 16:28:25.843;0;URL2831505;https://australiademo.opendatasoft.com;https://australiademo.opendatasoft.com/pages/home/;OPENDATASOFT;25;(not available);United States;United States of America;US;australiademo.opendatasoft.com;1
5398;10;2019;2019-11-14 14:28:35.617;0;URL3791603;https://avoindata.ouka.fi;https://avoindata.ouka.fi;CKAN;41;Finland;Finland;Finland;FI;avoindata.ouka.fi;1
7435;10;2019;2019-11-14 16:31:55.523;0;URL2832116;https://axego.my.opendatasoft.com;https://axego.my.opendatasoft.com/explore/;OPENDATASOFT;3;(not available);United States;United States of America;US;axego.my.opendatasoft.com;1
6536;10;2019;2019-11-14 15:38:11.713;0;URL1806214;http://azgeo-azland.opendata.arcgis.com;http://azgeo-azland.opendata.arcgis.com;ARCGIS;28;(not available);United States;United States of America;US;azgeo-azland.opendata.arcgis.com;1
7361;10;2019;2019-11-14 16:28:28.637;0;URL2831517;https://badiadelvalles.opendatasoft.com;https://badiadelvalles.opendatasoft.com/explore/;OPENDATASOFT;11;(not available);Germany;Germany;DE;badiadelvalles.opendatasoft.com;1
6538;10;2019;2019-11-14 15:38:16.517;0;URL1806217;https://bakersfielddatalibrary-cob.opendata.arcgis.com;https://bakersfielddatalibrary-cob.opendata.arcgis.com;ARCGIS;-1;(not available);United States;United States of America;US;bakersfielddatalibrary-cob.opendata.arcgis.com;1
