id;month;year;datetime;depth;urlid;url;domain;platform;dataset_total;domain_country;ip_country;country_name;country_alpha-2_code;root_domain;rank
1337;8;2019;2019-10-29 03:51:32.207;0;URL460364;https://2020census-bucksgis.opendata.arcgis.com;https://2020census-bucksgis.opendata.arcgis.com;ARCGIS;-1;(not available);United States;United States of America;US;2020census-bucksgis.opendata.arcgis.com;1
1336;8;2019;2019-10-29 03:51:29.767;0;URL460363;http://2020census-bucksgis.opendata.arcgis.com;https://2020census-bucksgis.opendata.arcgis.com/;ARCGIS;-1;(not available);United States;United States of America;US;2020census-bucksgis.opendata.arcgis.com;2
1338;8;2019;2019-10-29 03:51:34.730;0;URL460365;http://aboutus-bucksgis.opendata.arcgis.com;http://aboutus-bucksgis.opendata.arcgis.com;ARCGIS;-1;(not available);United States;United States of America;US;aboutus-bucksgis.opendata.arcgis.com;1
1339;8;2019;2019-10-29 03:51:37.593;0;URL460366;https://access-tep-thames.opendata.arcgis.com;https://access-tep-thames.opendata.arcgis.com;ARCGIS;3;(not available);United States;United States of America;US;access-tep-thames.opendata.arcgis.com;1
1340;8;2019;2019-10-29 03:51:41.190;0;URL460367;https://actmapi-actgov.opendata.arcgis.com;https://actmapi-actgov.opendata.arcgis.com;ARCGIS;172;(not available);United States;United States of America;US;actmapi-actgov.opendata.arcgis.com;1
2273;8;2019;2019-10-29 04:47:10.377;0;URL47486;https://afd.opendatasoft.com:443;https://afd.opendatasoft.com:443/page/accueil/;OPENDATASOFT;13;(not available);(not available);(not available);0;afd.opendatasoft.com:443;1
2272;8;2019;2019-10-29 04:47:07.737;0;URL47485;http://afd.opendatasoft.com;https://afd.opendatasoft.com:443/page/accueil/;OPENDATASOFT;13;(not available);Ireland;Ireland;IE;afd.opendatasoft.com;2
2271;8;2019;2019-10-29 04:47:04.793;0;URL47484;https://afd.opendatasoft.com;https://afd.opendatasoft.com/page/accueil/;OPENDATASOFT;13;(not available);Ireland;Ireland;IE;afd.opendatasoft.com;3
951;8;2019;2019-10-29 03:25:25.123;0;URL305604;https://africaopendata.org:443;https://africaopendata.org:443;CKAN;5470;(not available);(not available);(not available);0;africaopendata.org:443;1
950;8;2019;2019-10-29 03:25:22.537;0;URL305603;http://africaopendata.org;https://africaopendata.org:443/;CKAN;5470;(not available);Ireland;Ireland;IE;africaopendata.org;2
949;8;2019;2019-10-29 03:25:18.910;0;URL305602;https://africaopendata.org;https://africaopendata.org;CKAN;5470;(not available);Ireland;Ireland;IE;africaopendata.org;3
1341;8;2019;2019-10-29 03:51:44.290;0;URL460368;https://agcros-usdaars.opendata.arcgis.com;https://agcros-usdaars.opendata.arcgis.com;ARCGIS;147;(not available);United States;United States of America;US;agcros-usdaars.opendata.arcgis.com;1
1342;8;2019;2019-10-29 03:51:46.727;0;URL460369;https://agpres-bucksgis.opendata.arcgis.com;https://agpres-bucksgis.opendata.arcgis.com;ARCGIS;-1;(not available);United States;United States of America;US;agpres-bucksgis.opendata.arcgis.com;1
1214;8;2019;2019-10-29 03:42:40.200;0;URL400578;http://www.agridata.tn;http://www.agridata.tn;CKAN;488;Tunisia;Tunisia;Tunisia;TN;agridata.tn;1
